FilePath,Original Size,Gzip Compressed Size(B),Gzip Compression Time(s),Gzip Decompression Time(s),Zstd Compressed Size(B),Zstd Compression Time(s),Zstd Decompression Time(s)
random_json_files/100KB.txt,102986,19390,0.008442,0.001626,17627,0.007430,0.000979
random_json_files/<1MB.txt,1049196,192210,0.021843,0.004168,179564,0.009918,0.002885
random_json_files/1-10MB.txt,10486030,1919212,0.174968,0.036156,1821787,0.050687,0.011716
random_json_files/1-10MB.txt,10486030,1919212,0.169069,0.031329,1821787,0.050673,0.012532
random_json_files/1-10MB.txt,10486030,1919212,0.170276,0.032744,1821787,0.048052,0.011727
random_json_files/1-10MB.txt,10486030,1919212,0.164036,0.027335,1869308,0.127359,0.011697
random_json_files/1-10MB.txt,10486030,1919212,0.167222,0.028557,1869308,0.166837,0.011389
random_json_files/1-10MB.txt,10486030,1919212,0.177753,0.029139,1869308,0.145842,0.011554
random_json_files/1-10MB.txt,10486030,1919212,0.184701,0.031929,1869308,0.181971,0.011441
random_json_files/1-10MB.txt,10486030,1919212,0.183755,0.029893,1803288,0.480075,0.011631
random_json_files/1-10MB.txt,10486030,1919212,0.187218,0.028832,1803288,0.434091,0.011700
random_json_files/1-10MB.txt,10486030,1919212,0.176456,0.029380,1803288,0.523626,0.011056
random_json_files/1-10MB.txt,10486030,1919212,0.196992,0.029932,1803288,0.495880,0.012191
random_json_files/1-10MB.txt,10486030,1919212,0.184944,0.029629,1803288,0.433426,0.011809
random_json_files/1-10MB.txt,10486030,1919212,0.177956,0.028974,1803288,0.426804,0.011298
random_json_files/1-10MB.txt,10486030,1919212,0.186003,0.029137,1803288,0.435521,0.011392
random_json_files/1-10MB.txt,10486030,1919212,0.184417,0.030646,1803288,0.433973,0.011034
random_json_files/1-10MB.txt,10486030,1919212,0.182395,0.029510,1803288,0.437496,0.011607
random_json_files/1-10MB.txt,10486030,1919212,0.183561,0.028191,1803288,0.434671,0.011250
random_json_files/1-10MB.txt,10486030,1919212,0.184411,0.028951,1803288,0.478349,0.011192
random_json_files/1-10MB.txt,10486030,1919212,0.197053,0.031297,1803288,0.480300,0.012339
random_json_files/1-10MB.txt,10486030,1919212,0.178119,0.029819,1803288,0.438894,0.013852
random_json_files/1-10MB.txt,10486030,1919212,0.179439,0.029791,1803288,0.458572,0.016463
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1723020,0.033503,0.009162,1
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1723020,0.037543,0.011460,2
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1821787,0.059202,0.011588,3
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1821787,0.055046,0.009424,4
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1821787,0.060096,0.010037,5
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1869308,0.137087,0.009693,6
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1869308,0.139780,0.013213,7
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1869308,0.130399,0.009328,8
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1869308,0.132036,0.009098,9
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.421334,0.010374,10
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.418773,0.009946,11
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.405501,0.011361,12
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.406249,0.010056,13
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.404330,0.010420,14
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.415309,0.009680,15
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.402960,0.009407,16
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.406446,0.009698,17
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.413116,0.009574,18
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.408195,0.010956,19
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.404718,0.009577,20
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.402227,0.010802,21
random_json_files/1-10MB.txt,10486030,1919212,0.169621,0.028839,1803288,0.404328,0.011262,22
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17399,0.003148,0.000642,1
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17399,0.003665,0.002571,2
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17627,0.010265,0.001356,3
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17627,0.004026,0.000552,4
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17627,0.004446,0.000945,5
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17485,0.017014,0.000665,6
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17485,0.019292,0.000826,7
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17485,0.020618,0.000867,8
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17485,0.018489,0.000583,9
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.039200,0.000812,10
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.108075,0.000560,11
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.140389,0.000534,12
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.092137,0.000619,13
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.212123,0.000646,14
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.033282,0.000651,15
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.043396,0.000719,16
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.033120,0.000595,17
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.032679,0.000570,18
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.034334,0.000642,19
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.039663,0.000672,20
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.032790,0.000654,21
random_json_files/100KB.txt,102986,19390,0.003569,0.000666,17218,0.035564,0.000751,22
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,172344,0.006109,0.001515,1
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,172344,0.007558,0.003090,2
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,179564,0.036531,0.028459,3
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,179564,0.031108,0.002087,4
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,179564,0.009295,0.002235,5
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,178058,0.025524,0.004466,6
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,178058,0.029895,0.007263,7
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,178058,0.017521,0.002457,8
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,178058,0.016791,0.002547,9
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.068999,0.002068,10
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.065698,0.002623,11
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.046970,0.001841,12
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.049772,0.001925,13
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.047805,0.002138,14
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.047069,0.002243,15
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.046239,0.002598,16
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.049733,0.002403,17
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.049515,0.002670,18
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.048774,0.002799,19
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.048994,0.002302,20
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.048856,0.002073,21
random_json_files/<1MB.txt,1049196,192210,0.024008,0.004187,174392,0.048195,0.002035,22
