FilePath,Original Size,Gzip Compressed Size(B),Gzip Compression Time(s),Gzip Decompression Time(s),Zstd Compressed Size(B),Zstd Compression Time(s),Zstd Decompression Time(s),Zstd Compression Level
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,172344,0.007437,0.001990,1
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,172344,0.007512,0.003632,2
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,179564,0.013737,0.005444,3
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,179564,0.011075,0.001877,4
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,179564,0.009476,0.002306,5
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,178058,0.026080,0.006816,6
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,178058,0.030461,0.007179,7
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,178058,0.015097,0.002414,8
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,178058,0.014726,0.002620,9
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,174392,0.068134,0.002159,10
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,174392,0.065527,0.001870,11
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,174392,0.048575,0.001819,12
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,174392,0.049250,0.001941,13
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,174392,0.047217,0.002060,14
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,174392,0.047179,0.002454,15
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,174392,0.047448,0.001814,16
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,174392,0.046845,0.001850,17
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,174392,0.046751,0.001873,18
random_json_files/<1MB.txt,1049196,192210,0.024672,0.004354,174392,0.046774,0.001919,19
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1723020,0.034413,0.009569,1
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1723020,0.038660,0.012277,2
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1821787,0.060003,0.009883,3
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1821787,0.054218,0.009238,4
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1821787,0.059165,0.012042,5
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1869308,0.139531,0.009540,6
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1869308,0.143106,0.010716,7
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1869308,0.128718,0.008991,8
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1869308,0.154527,0.008637,9
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1803288,0.426105,0.011964,10
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1803288,0.423485,0.010578,11
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1803288,0.412879,0.013090,12
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1803288,0.423917,0.012565,13
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1803288,0.408762,0.014914,14
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1803288,0.409203,0.012420,15
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1803288,0.411483,0.010983,16
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1803288,0.412419,0.009449,17
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1803288,0.429070,0.009849,18
random_json_files/1-10MB.txt,10486030,1919212,0.190005,0.035889,1803288,0.407453,0.009441,19
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17399,0.002201,0.000530,1
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17399,0.004319,0.002625,2
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17627,0.010335,0.000814,3
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17627,0.005137,0.001424,4
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17627,0.005486,0.000792,5
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17485,0.014906,0.000618,6
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17485,0.024584,0.000630,7
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17485,0.008188,0.000619,8
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17485,0.006762,0.000973,9
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17218,0.071101,0.000690,10
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17218,0.142202,0.000524,11
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17218,0.073845,0.000614,12
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17218,0.049528,0.000625,13
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17218,0.083342,0.000609,14
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17218,0.065008,0.000591,15
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17218,0.033001,0.000671,16
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17218,0.036593,0.000681,17
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17218,0.122928,0.002756,18
random_json_files/100KB.txt,102986,19390,0.005139,0.000845,17218,0.026609,0.000676,19
